,Tweet,HS,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Gender
37,monsta monsterhiphoop anak nih lucu tegar,0,0,0,0,0,0
38,blusuk sat set sat set hasil presiden jokowi putus stop impor aspal milik aspal potensi buton                 fl,0,0,0,0,0,0
39,simpel follow akun gadang gadang calon presiden tau mute akun ngehekk lini damai bahagiyak,0,0,0,0,0,0
40,tuju kak oke sila kenal kabisa jago rendah,0,0,0,0,0,0
41,maaf,0,0,0,0,0,0
42,wisata sehat solo pikir sehat makan enak tubuh segar pas jalan solo ketemu mas gibran ethes,0,0,0,0,0,0
43,amu,0,0,0,0,0,0
44,cantik dukacita dalam dalam                 iya,0,0,0,0,0,0
45,laut indonesia ucap basuki ulang,0,0,0,0,0,0
46,bos sambo anggap selesai diup orang malas baca berita ditwitter hari be ahan jam kecuali covid tahun,0,0,0,0,0,0
47,pe andingan capai garis iman tim mati indah tinggal puji nama,0,0,0,0,0,0
48,monsterhiphoop tingkat percaya warga dokter percaya sembuh sakit dokter suka solo nih,0,0,0,0,0,0
49,hoaks percaya,0,0,0,0,0,0
50,cakcuk jawab                 vo a,1,1,0,0,0,0
51,monsta monsterhiphoop,0,0,0,0,0,0
52,isi pidato                 hem xc,0,0,0,0,0,0
53,jokowi turun gunung anak turun istana warga                 cx,1,1,0,1,0,0
55,pagi mbak nunung,0,0,0,0,0,0
56,cakcuk baca                 l,0,0,0,0,0,0
57,link                 bm wr co,1,1,0,0,0,0
58,amin pagiii papa anteng main                 f hb i wa,0,0,0,0,0,0
59,bangga pesawat presiden terbang presiden jokowi bau bau                 wmbeklhm,0,0,0,0,0,0
60,lukas kader ai demokrat sih bersih ai lukas jaka a penuhin undang komisi berantas korupsi mas agus susilo bambang yudhoyono turun gunung oke,1,0,1,0,0,0
61,gundala uji semester abdulsomad hilmi lindsayyonatan ma nsens iron steel leon konsultankorups budi angkat kemarin twit suka guling hari oke main ya pamit konvo,0,0,0,0,0,0
62,gundala uji semester abdulsomad hilmi lindsayyonatan ma nsens iron steel leon konsultankorups budi izin jbjb kakak keluarga milik orang anak masuk orang anak peluk katolik anak agama islam,0,0,0,0,0,0
63,santai banget gundul,0,0,0,0,0,0
64,jokowi porang umbi umbi indonesia jepang nama lo bahan diet kenyang porang ganti terigu anak butuh khusus                 hb,1,0,1,0,0,0
65,punten mbak dana anggar dapat belanja negara anggar dapat belanja daerah tugas haji jamaah haji link e,0,0,0,0,0,0
66,beehhh,0,0,0,0,0,0
67,monsterhiphoop tipu caption gelas cepat isi air penuhin paling jari dasar,0,0,0,0,0,0
68,coba bunda nih terap anak tantrum,0,0,0,0,0,0
69,apa yakin oma salam damai kristus peluk abadi dukacita dalam dalam,0,0,0,0,0,0
70,damai indah logika air alir alir masuk cawan kucur air cawan no isi,0,0,0,0,0,0
71,tau beda bahasa budaya,0,0,0,0,0,0
72,cc kak oke kakakeyo kemarin ciri khas kocheng bikin mas                 c dd,0,0,0,0,0,0
73,waahh keren mas terima kasih ya suka karya tunggu karya                 l ys wd,0,0,0,0,0,0
74,jeyuk suka,0,0,0,0,0,0
75,bisa ya,1,1,0,0,0,0
76,nama nya gagal tani cerita,0,0,0,0,0,0
77,mpraldo kucel,0,0,0,0,0,0
78,kisah kasih,0,0,0,0,0,0
79,bos bukti,0,0,0,0,0,0
80,yodah main,0,0,0,0,0,0
81,maksud,0,0,0,0,0,0
82,tolong hormat ya jaga negara satu republik indonesia,0,0,0,0,0,0
83,pagi mbak luke,0,0,0,0,0,0
84,no look no sesuai sifat air air alir buka no rendah no gelas cepat isi no eyel mode on,0,0,0,0,0,0
85,monsta monsterhiphoop no,0,0,0,0,0,0
86,buah nona buah,0,0,0,0,0,0
87,untuk indonesia pada bakti,0,0,0,0,0,0
88,avanya mas ganti mas wali lontong kepooo,0,0,0,0,0,0
89,pergi pasar beli pisang,0,0,0,0,0,0
90,susipudjiastuti senin lusa panggil ai ancam pecat                 t bnsnp,0,0,0,0,0,0
91,sembah                 y,1,0,1,1,0,0
92,lupa koruptor muda indonesia ainya,0,0,0,0,0,0
93,bungs ancam pecat bagus                 t bnsnp,0,0,0,0,0,0
94,madebylaluna bungs tanggal september senin lusa panggil ai golkar kait ancam pecat                 t bnsnp,0,0,0,0,0,0
95,hem baru ya pusat perintah pindah ikn pindah merdeka utara,0,0,0,0,0,0
96,musniumar kemenpu basuki kader partai demokrasi indonesia juang salah langkah beliau gubernur selesai menteri kerja rumah rakyat,0,0,0,0,0,0
97,bachrum achmadi terbang domestik jadwal                 oj,0,0,0,0,0,0
98,bachrum achmadi proses tol cisumdawu ngebut                 r jy,0,0,0,0,0,0
99,monsta tau,0,0,0,0,0,0
100,bachrum achmadi nih,1,1,0,0,0,0
101,amin siang mbak moga natal cisumdawu selesai ya                 h,0,0,0,0,0,0
102,panjianom kemenpu pakai kacamata hitam                 pz,0,0,0,0,0,0
103,yess mbak salah proses,0,0,0,0,0,0
104,musniumar ya for your information negara runtuh akibat banyak fitnah hoaks data fakta,0,0,0,0,0,0
105,yess salah alas pilih jokowi kerja beliau                 s tq razia hibur,0,0,0,0,0,0
106,mbak nuning jarang ya beliau kacamata hitam                 k,0,0,0,0,0,0
107,bungs,0,0,0,0,0,0
108,kadrun cerai salah jokowi ya tuhan jauh tetangga model amin,0,0,0,0,0,0
109,beliau irwan hidayat cucu sulistyo diri pabrik jamu muncul,1,1,0,0,0,0
110,sepe inya rumah ala ya,0,0,0,0,0,0
111,oke tolong kocheng renang,0,0,0,0,0,0
112,salah menteri bangga basuki proses kerja tol cisumdawu harap operasi,0,0,0,0,0,0
113,kemarin iriana sugeng enjang                 nz,0,0,0,0,0,0
114,goreng mentah                 hycgguhzwm,0,0,0,0,0,0
115,sweesal ketua ngehekk,0,0,0,0,0,0
116,mama bo kurang subsidi gas kg naik kasih kompor gas                 hycgguhzwm,1,1,0,0,0,0
117,monsterhiphoop bawa camil mas gibran rg,0,0,0,0,0,0
118,amin sugeng enjang paman,0,0,0,0,0,0
119,tarif tol sesuai mampu masyarakat survei bawa ai deh proyek perintah swasta                 c,0,0,0,0,0,0
120,adem hati pagi allah pasrah jiwa,0,0,0,0,0,0
121,basuki kader partai demokrasi indonesia juang tarif tol tahu gantung usaha swasta kelola tol gantung menteri kerja rumah rakyat kader cmiww                 usdn wej,0,0,0,0,0,0
122,golkar wakil ketua dewan wakil rakyat daerah depok tajudin tabri,0,0,0,0,0,0
123,chou syukur lepas suami moga tata hidup h,0,0,0,0,0,0
124,ai golkar tajudin tabri                 uqiv k,0,0,0,0,0,0
125,wakil ketua dewan wakil rakyat daerah depok asal ai golkar tajudin tabri buk                 uqiv k,0,0,0,0,0,0
126,tajudin tabri wakil ketua dewan wakil rakyat daerah depok asal ai golkar minta maaf ngeheknya                 uqiv k,0,0,0,0,0,0
127,airlangga h wakil ketua dewan wakil rakyat daerah depok ya tajudin tabri ai golkar sepe i minta maaf ngeheknya,0,0,0,0,0,0
128,ai emas,1,1,0,0,0,0
129,listy adik tempat langgan,0,0,0,0,0,0
130,adik bandung melon an langka,0,0,0,0,0,0
131,listy daerah ya mas adik,0,0,0,0,0,0
132,listy tunggu see era jokowi jarang langka kecuali minyak goreng kemarin,0,0,0,0,0,0
133,listy mudah momen berat warga hapus subsidi listrik watt subsidi gas sama efek naik bahan bakar minyak,1,1,0,0,0,0
134,tahu mbak emas ai demokrat agus harimurti yudhoyono kalah pilih gubernur jakarta ai demokrat kader bebas dukung,1,0,1,0,0,0
135,mending anggota dewan mbieb                 vg z,0,0,0,0,0,0
136,anggota dewan anggota dewan depok buat puji truk salah senggol po al viral sepe i minta maaf                 md,0,0,0,0,0,0
137,sulit mudah,1,1,0,0,0,0
138,sepe inya kurang subsidi gas kg harga normal k pe                 ribu rd com,1,1,0,0,0,0
139,bicara jokowi,1,1,0,0,0,0
140,ups asyik mas gibran nyinyir bapak datang langsung he he he halus,1,1,0,0,0,0
141,bachrum achmadi bonus cisumdawu                 jmdkcbwgy,0,0,0,0,0,0
142,bachrum achmadi kerja rumah pikir rakyat nih situs resmi link for your information jamaah haji jabar prasarana hubung berangkat ajati soetta,0,0,0,0,0,0
143,bachrum achmadi maksud,0,0,0,0,0,0
144,panggil sari nama lengkap baby badak gemoyy lahir ujung sari anak badak jawa sungguh untung indonesia milik spesies badak spesies badak dunia siaaanggg                 mg,1,1,0,0,0,0
145,hem lupa tol cisumdawu buka oktober mula ya,0,0,0,0,0,0
146,pakai sepatu,0,0,0,0,0,0
147,selamat ulang umur sehat rezeki bahagia amin,0,0,0,0,0,0
149,bu yenny be emu anies rangka sukses juara dunia panjat tebing mana bu yenny duduk ketua panjat tebing politik                 b iya si sekolah dasar,1,0,1,0,0,0
150,langsung lihat asem sih,1,1,0,0,0,0
151,ehe                 nih cq,1,1,0,0,0,0
152,santorinissun fitnah hoaks perintah sah niat ganti merah putih hitam,0,0,0,0,0,0
153,bagus bantu langsung tunai,0,0,0,0,0,0
154,ambil sifat ngehekk sedih,0,0,0,0,0,0
155,inda b iya heran ayam kakak inda b iya kakak ajar mentwit video bahasa bablas suka kena kenal akun cindil abang ajar baik,0,0,0,0,0,0
156,indonesia                 zn,1,0,1,0,0,0
157,leonita lestari adik nakalll,0,0,0,0,0,0
158,leonita lestari,0,0,0,0,0,0
159,mbak monsta mbak nita leonita lestari nungul,0,0,0,0,0,0
161,minum obat mam sembuh,0,0,0,0,0,0
162,santorinissun beuh,0,0,0,0,0,0
163,sitidew i luckypeople kangdickyajah bera i bicara doang data bye,1,1,0,0,0,0
164,kadang kampret main lawan kuat                 i,0,0,0,0,0,0
165,sitidew i luckypeople kangdickyajah beda,0,0,0,0,0,0
166,sitidew i luckypeople kangdickyajah tau beda lebih anggar lebih bayar,0,0,0,0,0,0
167,lembar kain taruh kepala dada tunduk pandang allah jaga sayang peluk jilbab pilih                 xc,0,0,0,0,0,0
168,moga lekas sembuh mbak dedek                 oy,0,0,0,0,0,0
169,komennya bagong pagi kang dicky,0,0,0,0,0,0
170,waalaikum salam selamat pagi mbak nunung,0,0,0,0,0,0
171,pagiii tim aduk aduk,0,0,0,0,0,0
172,cerah mbak sekar selamat pagi                 yv,0,0,0,0,0,0
173,moeldoko,0,0,0,0,0,0
174,oh kambing bicara maaf ya malam bilang kontol palkon tauknya kambing,1,1,0,0,0,0
175,oh kambing,1,1,0,0,0,0
176,selamat pagi nusantara,0,0,0,0,0,0
177,kambing bicara,1,1,0,0,0,0
178,ya a,0,0,0,0,0,0
179,maaf kakak bawa iya kali,0,0,0,0,0,0
180,ngeleeeessss urus urus banyak,1,1,0,0,0,0
181,kontol gobblokkk kafir gue ue syahadat salat salat damai hati busuk benci,0,0,0,0,0,0
182,palkon botak urus ulama ngehekk sih otak cabul,1,1,0,0,0,1
183,mentwit ucap sepe i pala kontol bebas mentwit ngehekk                 v,0,0,0,0,0,0
184,eh kontol kutip gus dur lompat pagar gobblokkk urus muka agama orang urus kaca komentar twit orang,1,1,0,0,0,0
185,naga lebah menteri sosial korupsi ganti bu tri rismaharini gibran bukti bukti sila lapor                 x,1,1,0,0,0,0
186,event selenggara solo usaha mikro tengah kembang infrastruktur tingkat                 pd,1,1,0,0,0,0
187,iyee keluarga soeha o,0,0,0,0,0,0
188,gp l k,0,0,0,0,0,0
189,gantung pola dik keluarga anies bangga mas agus harimurti yudhoyono bangga kerja bapak mas gibran kota,1,1,0,0,0,0
190,innalilahi wa inna ilaihi raji uji nasional tanah asal tanah dukacita dalam dalam moga almarhumah ibunda baik sis amin al fatihah                 w,0,0,0,0,0,0
191,andai paksa henti                 h,1,0,1,0,0,0
192,ehe pas mbak sikat ahok                 o,0,0,0,0,0,0
193,atuh,1,1,0,0,0,0
194,iyeee,0,0,0,0,0,0
195,mercyzheng adil negeri l h follow kangmas adil negeri l h beliau guru ditwitter ajar                 jf,0,0,0,0,0,0
196,sakit tah pekak,0,0,0,0,0,0
197,saidagils solehsolihun usaha listrik negara pakai com pakai anak nasi watt malam cuci eminggu gantung cuci,0,0,0,0,0,0
198,pagi pekak rumah tah,0,0,0,0,0,0
199,wagimandeep jokowi                 am,0,0,0,0,0,0
200,bawa edit ampun                 bv ci e,0,0,0,0,0,0
201,bennykeef ya tenggelam jadwal pilih santai tanggap wacana sepe i,0,0,0,0,0,0
202,wacana konstitusi,1,1,0,0,0,0
203,sila bebas jago pilih tunggu see,1,0,1,0,0,0
204,kochengfs cute,0,0,0,0,0,0
205,saidagils solehsolihun usaha listrik negara asli,1,1,0,0,0,0
206,salah fokus ahok senyum ramah tulus momen be emu ahok pesta nikah                 i,0,0,0,0,0,0
207,ridwan kamil basuki,0,0,0,0,0,0
208,wakil kocheng,0,0,0,0,0,0
209,solehsolihun usaha listrik negara angin,1,0,1,0,0,0
210,solehsolihun usaha listrik negara k va subsidi kulkas cuci eminggu,1,1,0,0,0,0
211,beehhh moga lekas sembuh beli pekak,0,0,0,0,0,0
212,atur,0,0,0,0,0,0
213,pagi paman biar segar moga rezeki amin,0,0,0,0,0,0
214,hadiiirrr pagiii,0,0,0,0,0,0
215,dsasobarami nya ganteng                 nm,0,0,0,0,0,0
217,gue,0,0,0,0,0,0
218,santorinissun daftar calon presiden bos sepe i rawan ganjar usung beliau calon presiden,0,0,0,0,0,0
219,top mas gibran                 t pergi,0,0,0,0,0,0
220,mana                 si,0,0,0,0,0,0
221,susilo bambang yudhoyono ani yudhoyono almarhumah,0,0,0,0,0,0
222,ai politik bagong                 i,1,0,1,0,0,0
223,tuhan orang zalim                 isqigagi,1,1,0,0,0,0
224,good tunggu proses hukum                 isqigagi,1,1,0,0,0,0
225,lihat malas mbak kepak                 i,0,0,0,0,0,0
226,laku                 qj r,0,0,0,0,0,0
227,obat monsta jaka a tah,0,0,0,0,0,0
228,hannaable arffbdmn kegblgnunfaedh biar ajak harap tau tulis amin doa balik,0,0,0,0,0,0
229,e naklolina rukun                 fa,0,0,0,0,0,0
230,hannaable arffbdmn kegblgnunfaedh zaman istri kerja rumah,0,0,0,0,0,0
231,tc,0,0,0,0,0,0
232,salah ahok,1,1,0,1,0,0
234,sore nungul,0,0,0,0,0,0
235,jinnonik hidup janani tetangga be happy hidup                 gede vk,0,0,0,0,0,0
236,salah alas suka ganjar                 m,0,0,0,0,0,0
237,mbak ya kelinci,0,0,0,0,0,0
238,begadang mbak a,0,0,0,0,0,0
239,presiden jokowi tolak periode wakil presiden                 g,0,0,0,0,0,0
240,pala pitak pakai uwit mentwit kerja cinta negara indonesia runtuh banyak fitnah hoaks simpel                 o,0,0,0,0,0,0
241,k minimal biar asah sempurna mampu,0,0,0,0,0,0
242,calon presiden alam,0,0,0,0,0,0
243,sekak mas gibran,0,0,0,0,0,0
244,bandung asyik raya menang patung turun kali ya                 ve,0,0,0,0,0,0
245,pedas ya,0,0,0,0,0,0
246,mam bakso ting ting ting,0,0,0,0,0,0
247,happy pekan kawan bu menteri negeri bu retno new kerja indonesia sehat ya bu semangat,0,0,0,0,0,0
248,gaduh                 iya l x,1,1,0,0,0,0
249,apa a inya selesai hambalang bukti nyata,1,0,1,0,0,0
250,cisumdawu luurr                 jmdkcbwgy,0,0,0,0,0,0
251,ya sila akibat kasih tau tarif listrik subsidi gas kg hapus,1,1,0,0,0,0
252,era susilo bambang yudhoyono bangun bendung way letak kabupaten buru propinsi malu selamat siang kawan,0,0,0,0,0,0
253,pagi bang raja,0,0,0,0,0,0
254,sembarang mas dwioktariyadi bang e naklolina kadrun,0,0,0,0,0,0
256,demo sih naik bahan bakar minyak pulang motor mobil beli bahan bakar minyak beli harga sesuai                 k,1,1,0,0,0,0
257,masjid diri,1,0,1,1,0,0
259,drun                 h,0,0,0,0,0,0
260,jempol harimau,0,0,0,0,0,0
261,cc mbak umyhisyam,0,0,0,0,0,0
262,santorinissun keras lawan cerdas calon presiden ikut hilang,0,0,0,0,0,0
263,leonita lestari twitter,0,0,0,0,0,0
264,negeri titip generasi mari jaga pilih pimpin                 ap,0,0,0,0,0,0
265,monsta monsterhiphoop any komen,0,0,0,0,0,0
266,blokir orang rujak ditemlen aku mati eh hidup,0,0,0,0,0,0
267,jokowi periode ganjar bu sus erick dukung ai fakta tenang kawan amat suara cebong mahal hasil antar jokowi jabat residen kerja coblos,0,0,0,0,0,0
268,cantiiikkkk,0,0,0,0,0,0
269,santorinissun panda atur undang undang jokowi periode ubah undang undang,0,0,0,0,0,0
270,gregorius pikir dukung perintah bera i dukung ainya main,0,0,0,0,0,0
271,senja,0,0,0,0,0,0
272,cilegon,0,0,0,0,0,0
273,bonus untuk kawan tata apik pantai rekreasi warga                 nya,0,0,0,0,0,0
274,jalan kaki,0,0,0,0,0,0
275,selamat pagi basuki sepe i jokowi kerja malam malu,1,1,0,0,0,0
276,pagi tata kota malu                 l,0,0,0,0,0,0
278,ambil nama pulau fair pulau oke                 si,0,0,0,0,0,0
280,selamat pagi mbak yanti,0,0,0,0,0,0
281,aaa pagiii neng,0,0,0,0,0,0
282,kelak oke selamat pagi                 iya,0,0,0,0,0,0
283,pagi bos demam                 c nf,0,0,0,0,0,0
284,selamat pagi mbak nuning iya                 c z,0,0,0,0,0,0
285,warga aktivitas pulau jembatan hemat ekonomi harap kembang,0,0,0,0,0,0
286,ya maaf nyinyir naik bahan bakar minyak perintah kompor ganti kompor bera i ganti alat masak periode                 wi,1,0,1,0,0,0
287,jembatan gantung pakai fair selesai resmi presiden jokowi hubung pulau kei pulau fair malu presiden ganti kerja henti selamat pagi kawan,0,0,0,0,0,0
288,medan,0,0,0,0,0,0
289,santorinissun mbak kepak,0,0,0,0,0,0
290,jinnonik jaga warga solo ya wajar perhati mas gibran,0,0,0,0,0,0
291,jinnonik mas gibran                 p,0,0,0,0,0,0
292,ayamsegar santorinissun sila up lebih up te arik booming berita,0,0,0,0,0,0
293,santorinissun iyeee,0,0,0,0,0,0
294,periode ganjar rk erick thohir bu sus calon presiden terus kerja jokowi baik mas wali mas gibran presiden,0,0,0,0,0,0
295,cepat sembuh ya,0,0,0,0,0,0
296,alba poet cepat sembuh,0,0,0,0,0,0
297,susah sih,1,1,0,0,0,0
298,alba poet mbak luna sembuh tah,0,0,0,0,0,0
299,selamat pensiun                 dd,1,1,0,0,0,0
300,khawatir bahan bakar minyak makan usaha jemput rezeki doa                 a,1,0,1,0,0,0
301,from this to this kakak oke kakakeyo hatur terima kasih buku bungkus penuh cinta terima kasih sehat sukses kakak oke amin,0,0,0,0,0,0
302,tuju terus basuki demo                 g bv pj,1,0,1,0,0,0
303,kasih sayang balik banyak nasi padang bawa pulang                 wkwk,0,0,0,0,0,0
304,amin saudara                 o k,0,0,0,0,0,0
305,rajin alias hilang twit ya kangen twitter,1,1,0,0,0,0
306,tumben lempeng tunggu umur calon presiden,0,0,0,0,0,0
307,braga,0,0,0,0,0,0
308,iya,0,0,0,0,0,0
309,vaksin sehat ya covid abai                 iya ya,0,0,0,0,0,0
310,pagi mbak seroja                 c dme,0,0,0,0,0,0
311,pagi mas yus aman kupi,0,0,0,0,0,0
312,pagi ayam                 o,0,0,0,0,0,0
313,yu yun leonita lestari                 r om video musik,0,0,0,0,0,0
314,yu yun leonita lestari ya warga kasih bantu langsung tunai repot,0,0,0,0,0,0
315,pagi nusantara,0,0,0,0,0,0
316,monsterhiphoop ya iya barusan,0,0,0,0,0,0
317,monsterhiphoop tidur cape habis jokowi kait bantu langsung tunai,0,0,0,0,0,0
318,sapih jokowi sapih alih subsidi bahan bakar minyak jaga bantu langsung tunai sepe i bayi reaksi kita agam tantrum proses dewasa mandiri                 ahb i,1,1,0,0,0,0
319,suami rumah o unya antar istri rumah orang tua simpel,0,0,0,0,0,0
320,orang tir,0,0,0,0,0,0
321,kondisi kakak luna,0,0,0,0,0,0
322,waalaikum salam moga cepat sembuh kakak luna,0,0,0,0,0,0
323,alas                 dk f,0,0,0,0,0,0
324,step by step bukti serius perintah pe emuan rencana tanggal september kantor menteri agama,0,0,0,0,0,0
325,main sepeda lihai lepas tangan lihat sepeda jatuh ganti sepeda,0,0,0,0,0,0
326,alhamdulillah jokowi,0,0,0,0,0,0
327,karakter jatuh sepeda sejati bangkit tukar sepeda sepe inya ai dukung mesti pikir ulang nasib sepe i sepeda jatuh,0,0,0,0,0,0
328,ya kendara motor bego jalan aspal jalur                 ba ai,0,0,0,0,0,0
329,lobster                 t,0,0,0,0,0,0
330,bismillah kakak oke,0,0,0,0,0,0
331,istirahat sup panas paracetamol moga lekas sembuh ya ramai asyik,0,0,0,0,0,0
332,gubernur,0,0,0,0,0,0
333,open,1,0,1,0,0,1
335,pacalll tani ngasuh bryno,0,0,0,0,0,0
336,pilih monsta,0,0,0,0,0,0
337,netizens satu kalah terima kasih silent mayoritas,1,0,1,1,0,0
338,monsterhiphoop jokowi,1,1,0,0,0,0
339,luke bal fitnah mantan teman deketnya,0,0,0,0,0,0
340,terima kasih mbak safira banget bang pol mentwit hormat bagi follow                 rm rl,0,0,0,0,0,0
341,ngeleeeessss,0,0,0,0,0,0
342,like dari bang,0,0,0,0,0,0
343,kisah,0,0,0,0,0,0
344,kochengfs terima kasih suasana hati booster banget,0,0,0,0,0,0
345,kiranaantaresia ronnyyulianto biar empuk tulang,1,1,0,0,0,0
346,anggap kelola fir sederhana negara mesti izin terbang wilayah natuna cuan izin alir singapura indonesia merdeka                 yq a,0,0,0,0,0,0
347,jokowi daulat udara laut mbak,0,0,0,0,0,0
348,beda kritik kerja iya,0,0,0,0,0,0
349,avanya cantiiikkk,0,0,0,0,0,0
350,p,0,0,0,0,0,0
351,wongkalibanteng amin                 i k p,0,0,0,0,0,0
353,terbang                 gue gue og ou,0,0,0,0,0,0
354,indonesia negara daulat                 t,0,0,0,0,0,0
355,i k fa,0,0,0,0,0,0
356,rip,0,0,0,0,0,0
357,santorinissun ya mbak,0,0,0,0,0,0
358,ekowboy urus gue gue lurus paham dana haji,0,0,0,0,0,0
359,kintilll,0,0,0,0,0,0
360,ekowboy perintah sebut dana haji media sebut subsidi,1,0,1,0,0,0
361,ekowboy mesti dana haji tanda kutip oh iya urus dana haji urus dana abadi umat kelola hasil kembali umat muslim ibadah haji                 k p,0,0,0,0,0,0
362,ekowboy ya halal orang uang kelola hati aneh usul subsidi haji cabut c,1,1,0,0,0,0
363,rip,0,0,0,0,0,0
364,ekowboy istilah subsidi salah dana haji kelola pisah anggar dapat belanja negara beda subsidi link,0,0,0,0,0,0
365,monsterhiphoop ya monsta atuh,1,1,0,0,0,0
366,monsterhiphoop mantan,0,0,0,0,0,0
367,luke bal kadang lihat video lucu bawa tanda mulu he he he,0,0,0,0,0,0
368,ekowboy ambil anggar dapat belanja negara,1,1,0,0,0,0
369,ekowboy ya setor minimal juta no antre itu tunggu bas puluh pergi dana kumpul kelola perintah berangkat kembali bentuk subsidi,0,0,0,0,0,0
370,alhamdulillah fir natuna bos berkat presiden jokowi puluh kelola singapura daulat penuh ruang udara                 c i,0,0,0,0,0,0
371,video deh linknya,0,0,0,0,0,0
372,ekowboy mending hapus twit disleding malu,1,0,1,0,0,0
373,mama bo pic kiri polos anak suka bening jernih mata,0,0,0,0,0,0
374,wali kota partai adil sejahtera wakil ai umat gubernur jabar harga jabar kucel,0,0,0,0,0,0
375,selamat ulang bunda september,0,0,0,0,0,0
376,ngebut                 x,0,0,0,0,0,0
377,nge i keras tolak naik bahan bakar minyak                 cg pergi,1,0,1,0,0,0
378,aman pagiii,0,0,0,0,0,0
379,bismillah moga niat maksud segera menteri agama yaqut qoumas temu wali kota kait diri gereja cilegon                 v,0,0,0,0,0,0
380,santorinissun boleee,0,0,0,0,0,0
381,suka banget paman belah kanan serasa makkah deh,1,0,1,0,0,0
382,riweuh banget sadar ya menteri ganti tjahjo kumolo beliau dulunya bupati,1,1,0,0,0,0
383,ya serah sih sila bebas demo kerja uwit simpel,1,0,1,0,0,0
384,time,0,0,0,0,0,0
385,jq z,0,0,0,0,0,0
386,pas                 nc l p,0,0,0,0,0,0
387,mas yus pagi sarap,0,0,0,0,0,0
388,pagiiii,0,0,0,0,0,0
389,selamat pagi untuk demo demo time oleh demo negara giat nya bangun,0,0,0,0,0,0
390,suara cebong mahal kampret sangka dukung mbak kepak damai tuju oi kampret bilang ya dukung jokowi bera i dukung ainya dukung negara satu republik indonesia,1,0,1,0,0,0
391,untung ya pulici kerja,0,0,0,0,0,0
392,pagi mas yus                 sw,0,0,0,0,0,0
393,favorit hem,0,0,0,0,0,0
394,halo pagi,0,0,0,0,0,0
395,pagiii buat mak teddy nama akun ganti sulit tanda,1,1,0,0,0,0
396,selamat pagi selamat jemput rezeki tetap                 e,0,0,0,0,0,0
397,pagiii eh dedek sena gigi,0,0,0,0,0,0
398,selamat ya ayam   moga betah anies,0,0,0,0,0,0
399,ih buah sanes ih mangga,0,0,0,0,0,0
400,jinnonik izin setor cicil daftar tunggu haji dana kelola perintah kembali umat muslim bentuk subsidi,1,0,1,0,0,0
401,istana maksud,1,1,0,0,0,0
402,orang bandung tah daerah,0,0,0,0,0,0
404,dukung pleciden,0,0,0,0,0,0
405,jeyuk siang mas yus,0,0,0,0,0,0
406,monsterhiphoop kemarin empati banget senggol rakyat jelantah,1,1,0,0,0,0
