,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Gender
34,"@baby_alien28 @arievrahman @sociogeeks_ HBD mbak Baby..
Libra girl..

Panjang umur, mudah rezekinya, sehat, cantiiikkk, bahagia..
Berlimpah berkah sepanjang hidupnya..
Aamiin..
Hip hip Uraaa..
Wish all the best just for you..💐💐💐💐💐 https://t.co/kHYqJG3yip",0,0,0,0,0,0,0
35,@VerenaSusilowa1 Selamat Pagi mbak Ve.. https://t.co/pr4hto2XvZ,0,0,0,0,0,0,0
36,"Sorry to say..
Yang bikin video ini g ada akhlak..

Mbak Puan dan pak Ganjar sama2 kader PDIP.
Jangan ginilah..
Santai aja, 2023 masih lama.
Tunjukkan kemampuan bukan dengan nyinyiran.
 https://t.co/ec1NtuSihA",0,0,0,0,0,0,0
37,"Monsta @monsterhiphoop 
Anak lo nih..
Lucu n tegar.. 🥳🥳🥳",0,0,0,0,0,0,0
38,"Blusukan..
Sat set sat set..
Hasilnya adalah,...

Presiden Jokowi memutuskan untuk stop impor aspal karena kita memiliki aspal potensi besar di Buton.

https://t.co/X7LcMXQnFL",0,0,0,0,0,0,0
39,"Aku mah simpel..
Follow akun yang digadang-gadang jadi capres.
Jadi kita tau apa kabisanya dan mute akun2 ngehekk.
Temlen kita damai dan bahagiyak.. https://t.co/yzdfX2wwcy",0,0,0,0,0,0,0
40,"@KakaKeyo Naahh setuju ma kak Key.
Silahkan perkenalkan kabisa jagoan kalian, tanpa harus merendahkan satu sama lain.",0,0,0,0,0,0,0
41,@monsterhiphoop Sorry.. 🙏🙏🙏,0,0,0,0,0,0,0
42,"@gibran_tweet Wisata sehat ae di Solo..
Pikiran sehat, makanan enak membuat tubuh segar..

Palagi kalo pas jalan2 di Solo ketemu mas Gibran atau Jan Ethes..

https://t.co/fhlFwTPIKI",0,0,0,0,0,0,0
43,@autobots5699 https://t.co/2x5u3uwgJY,0,0,0,0,0,0,0
44,"@LekatoZa Cantik sekali..
Turut berdukacita yang sedalam-dalamnya..
🙏🙏🙏 https://t.co/3y5aOPfzZj",0,0,0,0,0,0,0
45,"Karena laut adalah masa depan Indonesia..

Ucapan dari pak Basuki untuk kemaritiman yang berulang tahun ke-58.

https://t.co/4gFgkVnViT",0,0,0,0,0,0,0
46,"@JudahLion88 Karena Kita Pembosan.

Sambo tuh dianggap selesai.
Diup juga orang udah males baca.
Berita biasa ditwitter paling lama sekitar 3 harian, atau mungkin bahkan bertahan hanya beberapa jam, kecuali covid yang bisa tahunan.",0,0,0,0,0,0,0
47,"Aku telah mengakhiri pertandingan yang baik.
Aku telah mencapai garis akhir dan aku telah memelihara iman.
2 Tim. 4:7

Kematian yang indah.
Seorang ibu meninggal saat dia dan semua sedang memuji namaNya..

https://t.co/aUk8qfPkbz",0,0,0,0,0,0,0
48,"@JudahLion88 @monsterhiphoop Apa bisa juga tingkat kepercayaan warga pada dokter kita??
Rasa percaya itu 50% kesembuhan..
Katanya kalo sakit dokter kita suka pingpong sana sini..

Solo nih..
https://t.co/140DvKTRdp",0,0,0,0,0,0,0
49,@Komentator_aja Hoax kok dipercaya.,0,0,0,0,0,0,0
50,@o3nNHboQbkXZQnn @CakCuk86 Ini jawabannya.. https://t.co/OeyC8VO8A5,0,0,0,0,0,0,0
51,Monsta @monsterhiphoop ??,0,0,0,0,0,0,0
52,"@SantorinisSun Isi pidatonya..
https://t.co/hH8RGEG0Xc",0,0,0,0,0,0,0
53,"@KakaKeyo @jokowi Bukan turun gunung untuk anak..
Tetapi turun dari istana untuk warganya.. https://t.co/ZmdNsBu1cX",0,0,0,0,0,0,0
54,"@monsterhiphoop Lemaaahhh...
Katanya biawak...",0,0,0,0,0,0,0
55,@MaryanaNunung Pagi mbak Nunung.. https://t.co/zOsOkuFHEk,0,0,0,0,0,0,0
56,@aunb132 @CakCuk86 Dibacakah dari linkmu?? https://t.co/Unz5blob4l,0,0,0,0,0,0,0
57,"@CakCuk86 Link
https://t.co/BM0wR9Q0co",0,0,0,0,0,0,0
58,"@benedictus82 Aamiin.. pagiii
Lha malah papanya yang anteng main ini.. https://t.co/F2Hb8I23wA",0,0,0,0,0,0,0
59,"Selalu ada rasa haru dan bangga melihat pesawat kepresidenan terbang.

Saat presiden Jokowi tiba di Bau-bau.
https://t.co/WMbEKlhM65",0,0,0,0,0,0,0
60,"Lukas Enembe masih kader partai Demokrat g sih??

Naa ketumnya tuh, kalo bener pengen bersih2 partai,  bisa minta Lukas ke Jakarta, kooperatif, penuhin undangan KPK.
Gimana mas Agus, pak SBY..
Ini turun gunung yang ok.. 👌",0,0,0,0,0,0,0
61,"@JudahLion88 @gundala2221 @UAS_AbdulSomad @Hilmi28 @LindsayYonatan @maxhansens50 @iron_steel12 @leon @KonsultanKorups @Budi_2232 Mau angkat ini kemarin jadi twit, apadaya lebih suka guling2 seharian..
Jadi aja..
😄🤣🤣🤣..
Ok aku main lagi yak..
Pamit dari konvo..
🙏🙏🙏",0,0,0,0,0,0,0
62,"@JudahLion88 @gundala2221 @UAS_AbdulSomad @Hilmi28 @LindsayYonatan @maxhansens50 @iron_steel12 @leon @KonsultanKorups @Budi_2232 Izin jbjb. 🙏.
Mungkin karena melihat kakaknya.
Keluarga ini memiliki 4 orang anak.
Dengan masuknya Ciquita, maka 2 orang anaknya memeluk Katolik dan 2 anak yang lain beragama Islam..
https://t.co/6EAhZBDlrT https://t.co/7OfUzoVasq",0,0,0,0,0,0,0
63,"@Nightmarisly 🤣🤣🤣..
Santai banget jawabnya..
""Gundulmu..""",0,0,0,0,0,0,0
64,"@KakaKeyo @jokowi Porang.
Umbi-umbian dari Indonesia..
Kalo di Jepang, namanya  konyaku, itu lho bahan nutrijel.
😄.
Selain bisa untuk diet karena memberi rasa kenyang lebih lama, porang bisa mengganti terigu bagi anak berkebutuhan khusus.
https://t.co/FHjtq9hB08",0,0,0,0,0,0,0
65,"Punten mbak..
Ini yang lebih rinci..
🙏🙏🙏..
Dana APBN dan APBD digunakan untuk petugas haji bukan untuk jamaah haji.
Link.
https://t.co/0j2xOrtQ7e https://t.co/AZyf8MjWGA",0,0,0,0,0,0,0
66,@monsterhiphoop @OliviaCath1540 Beehhh . 😋😋,0,0,0,0,0,0,0
67,"@OliviaCath1540 @monsterhiphoop G ada yang bener..
🥴🥴🥴
Kita ketipu ma caption, gelas mana yang paling cepat terisi.
Lah airnya cuma seteko.
Mana bisa penuhin sampe lubang.
Palingan cuma empat jari dari dasar  😋.",0,0,0,0,0,0,0
68,@OmDickyajah Coba bunda2 bener g nih bisa diterapkan kalo anak tantrum..,0,0,0,0,0,0,0
69,"@mangkudisastra Apapun keyakinan Oma, salam damai.
Kristus telah memeluknya dalam keabadian..
Turut berdukacita yang sedalam-dalamnya..
🙏🙏🙏 https://t.co/wNyCkBLNq1",0,0,0,0,0,0,0
70,"@isna_j @Jelantik5 @doessense @Damai_Itu_Indah Betul.
Secara logika, air mengalir diatas pipa, mengalir dan masuk kecawan kelima.
Perlu kucuran air yang deras jika ingin cawan no 6 terisi juga.",0,0,0,0,0,0,0
71,Tau beda bahasa dan budaya??,0,0,0,0,0,0,0
72,"Cc.. Kak Key @KakaKeyo 
Tambah lagi dari ilustrasi kemarin, ternyata ciri khasnya..
Kocheng Oyeennn..

Ini yang bikin..
Mas @aufaag 
💐💐💐 https://t.co/tsLZG8C4DD",0,0,0,0,0,0,0
73,"@aufaag Waahh keren mas Aufag..
Terima kasih yaa..
Sukaaa karyanya 😎😎😎..
Ditunggu karya2 berikutnya.. https://t.co/l11YSxDfWd",0,0,0,0,0,0,0
74,"@monsterhiphoop Jeyuk, kesukaan lo.",0,0,0,0,0,0,0
75,"@Pra__93 Udah ada bisanya belum yaa..
Kyut juga.. 🥳🥳🥳",0,0,0,0,0,0,0
76,"@cleo_mochy Itu kenapa nick name nya gagal jadi petani..
Mo cerita??",0,0,0,0,0,0,0
77,"@ElinaDio @MprAldo Kucel itu pasti..
😄😄😄",0,0,0,0,0,0,0
78,Sepenggal Kisah Kasih... https://t.co/ajOsEb5dXa,0,0,0,0,0,0,0
79,"@RaffaelleJuan G semua, Boss..
Ini buktinya..
https://t.co/SeM9VJiDr1",0,0,0,0,0,0,0
80,"@monsterhiphoop 🤣🤣🤣..
Yodah kita main lagi nanti..",0,0,0,0,0,0,0
81,@bhayubisma Maksudnya??,0,0,0,0,0,0,0
82,"@Erwinwuarmanuk_ @johandaeng Tolong sampaikan rasa hormat kami ya untuk penjaga NKRI..
🙏🙏",0,0,0,0,0,0,0
83,@Luke_Bali Pagi mbak Luke.. https://t.co/XwalwywAUE,0,0,0,0,0,0,0
84,"@monsterhiphoop No 5 kata aku mah.
Look no 1 dan 5.
Sesuai sifat air, maka air mengalir melalui celah yang terbuka di no 1 dan 5.
Dan yang paling rendah adalah no 5, jadi gelas yang paling cepat terisi adalah no 5.
((Ngeyel mode on)).
😄😄😄",0,0,0,0,0,0,0
85,"Monsta @monsterhiphoop 
No berapa??",0,0,0,0,0,0,0
86,@juwiiiita Buah Nona atau buah Srikaya.,0,0,0,0,0,0,0
87,"Untukmu, Indonesiaku..
Padamu, kami berbakti..
 https://t.co/HOWqw6qSCL",0,0,0,0,0,0,0
88,"@gibran_tweet Sangaarrrr avanya mas..
Diganti..
Disuguhin apa di sana, mas wali, selain lontong.
Kepooo... 🤭😋 https://t.co/pIJ3ZbofzV",0,0,0,0,0,0,0
89,Ibu pergi ke pasar membeli setandan pisang.,0,0,0,0,0,0,0
90,"@poetut_preneur @susipudjiastuti Senin lusa dipanggil ke partai dan terancam dipecat..
https://t.co/TX4dbNSnp5",0,0,0,0,0,0,0
91,Sekte penyembah cangcut.. https://t.co/yx0j0u1qN3,0,0,0,0,0,0,0
92,"@SantorinisSun Dan jangan lupa, rekor koruptor termuda di Indonesia ada dipartainya.. https://t.co/FIswJF5RyR",0,0,0,0,0,0,0
93,"@mukhidjan @__Bungs Terancam dipecat..
Bagus tuh..
https://t.co/TX4dbNSnp5",0,0,0,0,0,0,0
94,"@TZoelvicar @Madebylaluna @__Bungs Tanggal 26 September, hari Senin lusa akan dipanggil partai Golkar terkait masalah ini dan terancam dipecat.
https://t.co/TX4dbNSnp5",0,0,0,0,0,0,0
95,"Ehem..
Kurang update yaa..
Pusat pemerintahan pindah ke IKN tahun 2024. Jadi pindah ke Merdeka Utara mo ngapain??
https://t.co/TLzD6VgOoe https://t.co/gjRaK84eQj",0,0,0,0,0,0,0
96,"@Pencerah___ @musniumar @KemenPU Pak Basuki memang telah menjadi kader PDIP sekarang.
Mungkin ini salah satu langkah kecil beliau untuk menjadi seorang gubernur, setelah selesai menjadi menteri PUPR.
😎😎😎
https://t.co/KLcvfaVwsd",0,0,0,0,0,0,0
97,"@Yuliez85 @bachrum_achmadi Penerbangan domestik yang mulai kembali dijadwalkan..
https://t.co/oJX71cKAys",0,0,0,0,0,0,0
98,@Yuliez85 @bachrum_achmadi Proses tol Cisumdawu yang terus ngebut.. https://t.co/rxxTjYXAs3,0,0,0,0,0,0,0
99,"@monsterhiphoop Entah.. 🤔🙏..
Mungkin Monsta tau,",0,0,0,0,0,0,0
100,"@Yuliez85 @bachrum_achmadi Nih..
https://t.co/ddPVarjEFf",0,0,0,0,0,0,0
101,"@elindashe Juga kita semua..
Aamiin..
Siang mbak Els..
Semoga Natal nanti, Cisumdawu bisa selesai yaa.. https://t.co/NsuJfQjj6h",0,0,0,0,0,0,0
102,"@Cupidlucky2 @panjianom102 @KemenPU Pake kacamata hitam..
😎😎😎 https://t.co/pZ8MKMgIZk",0,0,0,0,0,0,0
103,"@MaryanaNunung Yess mbak Nung..
Ini salah satu prosesnya.. https://t.co/ByLVKdjbbR",0,0,0,0,0,0,0
104,"@ageng_kiryanto @musniumar Ya..
FYI, negara dapat runtuh akibat banyaknya fitnah dan hoax.
Karena itulah kita ada dengan memberikan data dan fakta.",0,0,0,0,0,0,0
105,"@Rosses1Black Yess..
Salah satu alasan kita untuk memilih pak Jokowi kembali adalah karena kerja beliau begitu baik. https://t.co/sx6Etq2RhU",0,0,0,0,0,0,0
106,"@AnastasiaNuning Mbak Nuning juga..
Jarang2 yaa beliau menggunakan kacamata hitam.. https://t.co/nLjopwGZ7k",0,0,0,0,0,0,0
107,@tanpana61043917 @__Bungs Impossible..,0,0,0,0,0,0,0
108,"Kata kadrun kalo cerai itu salah Jokowi..

Ya Tuhan..
Jauhkanlah hamba dari tetangga model gini..
Aamiin..
https://t.co/beOTHw4koB",0,0,0,0,0,0,0
109,"@Leonita_Lestari Beliau adalah bapak Irwan Hidayat..
Cucu dari ibu Rachmat Sulistyo, pendiri pabrik jamu Sido Muncul. https://t.co/1orOXMdII9",0,0,0,0,0,0,0
110,"@cleo_mochy Sepertinya ini kompleks perumahan ala2 yaa..
🤔🥴..",0,0,0,0,0,0,0
111,"@jokowi Ok, tapi tolong jelaskan pak, itu kocheng ngapain ikut berenang?? 😄😄😄",0,0,0,0,0,0,0
112,"Salah satu menteri kebanggaan kita..

Pak Basuki dalam proses pengerjaan tol Cisumdawu yang diharapkan dapat mulai beroperasi saat Nataru.. https://t.co/qDHOnAwkbB",0,0,0,0,0,0,0
113,"Kemarin ada Ibu Iriana di Sragen..
Sugeng Enjang, luuurrr.. https://t.co/nz95MlkAe1",0,0,0,0,0,0,0
114,"@bachrum_achmadi G jadi weee..
Gorengannya mentah...
https://t.co/HYcgGUHZWm",0,0,0,0,0,0,0
115,"@IinD4m41 @Sweesal_ Ketua Banggar yang ngehekk..
https://t.co/JeCErVsxvK",0,0,0,0,0,0,0
116,"@Sweesal_ G jadi mommy Bo..
Ini sebenarnya untuk mengurangi beban subsidi gas 3 kg.
Apa sebaiknya dinaikkan daripada dikasi kompor gas??
https://t.co/HYcgGUHZWm",0,0,0,0,0,0,0
117,"@Listy9021 @monsterhiphoop Tebak yang bawa cemilan, mas Gibran atau suguhan dari RG?? 😄 https://t.co/EldwywkVKD",0,0,0,0,0,0,0
118,"@budibongg Aamiin...
Sugeng Enjang, uncle.. https://t.co/1FNjZZFrps",0,0,0,0,0,0,0
119,"@musniumar Tarif tol disesuaikan dengan kemampuan masyarakat setelah dilakukan survey terlebih dahulu.

Gosah bawa2 partai deh..
Ini proyek pemerintah dan ada swasta. https://t.co/C9geCwtCSY",0,0,0,0,0,0,0
120,"Ngademin Hati di Pagi Hari..
Enggal rawuh rohing Allah, kulo pasrah jiwa raga... 

https://t.co/NLfPR2qEl1",0,0,0,0,0,0,0
121,"@INDA_B0Y Pak Basuki sekarang udah jadi kader PDIP.
Adapun tarif tol, setauku mah itu tergantung perusahaan swasta yang mengelola tol, bukan tergantung menteri PUPR apalagi seorang kader.
Cmiww.. 🤔..
https://t.co/UsdN3q5wej",0,0,0,0,0,0,0
122,"@sudrajatasep17 Golkar, wakil ketua DPRD Depok.
Tajudin Tabri",0,0,0,0,0,0,0
123,"@JinTogel Larissa Chou..
Syukurlah dia udah lepas dari suami brengseknya..
Semoga bisa menata hidupnya dengan lebih baik. https://t.co/ATbwvwrTh9",0,0,0,0,0,0,0
124,"@__Bungs Dari partai Golkar..
Tajudin Tabri..
https://t.co/N9uqIV197K",0,0,0,0,0,0,0
125,"@susipudjiastuti Wakil ketua DPRD Depok, berasal dari partai Golkar..
Tajudin Tabri..
Ini ngelesnya buk...
https://t.co/N9uqIV197K",0,0,0,0,0,0,0
126,"Tajudin Tabri, wakil ketua DPRD Depok, berasal dari partai Golkar..
Berikut permintaan maaf ngeheknya..
 https://t.co/N9uqIV197K",0,0,0,0,0,0,0
127,"@jumadi097 @airlangga_hrt Wakil ketua DPRD Depok..
Ya Tajudin Tabri dari partai Golkar..
Ini seperti biasa permintaan maaf ngeheknya.
https://t.co/tre6JMQR04",0,0,0,0,0,0,0
128,@whienputra Partai Emas??,0,0,0,0,0,0,0
129,@AyamSegar3 @Listy9021 @dee_aja_lg 18 ditempat langganan..,0,0,0,0,0,0,0
130,@Listy9021 @dee_aja_lg Di Bandung melon sekitar 18-20an n g langka.,0,0,0,0,0,0,0
131,@dee_aja_lg @Listy9021 Daerah mana itu ya mas Dee ??,0,0,0,0,0,0,0
132,"@dee_aja_lg @Listy9021 Wait n see lah..
Tapi biasanya diera pak Jokowi ini jarang kelangkaan kecuali minyak goreng kemarin.",0,0,0,0,0,0,0
133,"@dee_aja_lg @Listy9021 Mudah kok nanti dapetinnya..
Tapi ini momen berat bagi warga, karena penghapusan subsidi listrik 450watt dan subsidi gas dilakukan bersamaan. Belum lagi efek kenaikan BBM yang baru.",0,0,0,0,0,0,0
134,"Setauku mbak Emas ini dari partai Demokrat.

Ketika AHY kalah dalam pilgub Jekardah, partai Demokrat mempersilahkan para kadernya bebas mendukung siapa.",0,0,0,0,0,0,0
135,@WagimanDeep212_ Mending anggota dewan yang ini Mbieb.. https://t.co/weWuz1VG9z,0,0,0,0,0,0,0
136,"Anggota Dewan Bangkee..

Seorang anggota dewan Depok, berbuat tak terpuji terhadap seorang supir truk yang bersalah karena menyenggol portal.

Mungkin nanti setelah viral seperti biasa ada permintaan maaf..
🥴.
https://t.co/Md7BNYLhbQ",0,0,0,0,0,0,0
137,"@Listy9021 Kalo ada cara sulit kenapa harus dengan cara mudah??
😑😑",0,0,0,0,0,0,0
138,"@Listy9021 Sepertinya nanti untuk mengurangi subsidi gas 3 kg.
Mungkin menjadi harga normal..
Sekitar 37k pertabung.
https://t.co/5rB3rD5cOM",0,0,0,0,0,0,0
139,@gibran_tweet Ngobrolin pak Jokowi.. 👌,0,0,0,0,0,0,0
140,"Ups.. Asik emang mas Gibran..

Sering nyinyirin bapaknya, didatengin langsung ..
 🤭🤭🤭
He he he, tampolan yang halus.. https://t.co/29zmbAdwYS",0,0,0,0,0,0,0
141,"@Yuliez85 @bachrum_achmadi Bonus..
Cisumdawu..
https://t.co/3jMdKcBWGY",0,0,0,0,0,0,0
142,"@Yuliez85 @bachrum_achmadi Itu PR. Pikiran Rakyat.
Nih kalo mau situs resmi..
Link..
FYI, nanti jamaah haji Jabar juga jika prasarana telah terhubung akan berangkat dari Kertajati.
Bukan dari Soetta lagi.
https://t.co/I75KaB3le4 https://t.co/gUaktIGL96",0,0,0,0,0,0,0
143,@DinaKusmayanti9 @bachrum_achmadi Maksudnya??,0,0,0,0,0,0,0
144,"Panggil aja Sari..

Nama lengkapnya Merdekasari..
Baby badak gemoyy yang lahir di Ujung Kulon..😄

Sari adalah anak badak Jawa.
Sungguh beruntung Indonesia karena memiliki 2 spesies badak dari 5 spesies badak dunia.. 🥳

Siaaanggg...

 https://t.co/Mg1KmJDOIP",0,0,0,0,0,0,0
145,"@bachrum_achmadi Ehem..
Jangan lupa tol Cisumdawu mulai dibuka Oktober.
Ini baru permulaan ya.. 👌
https://t.co/gwZVzCUFFJ..",0,0,0,0,0,0,0
146,@monsterhiphoop Cieee yang pake sepatu baru...,0,0,0,0,0,0,0
147,"@Listy9021 HBD..
Panjang umur, sehat, banyak rezeki dan bahagia..
Aamiin.. https://t.co/wzzrCjttaH",0,0,0,0,0,0,0
148,@SantorinisSun https://t.co/YSnVntgBR1,0,0,0,0,0,0,0
149,"@bachrum_achmadi Bu Yenny Wahid bertemu pak Anies dalam rangka mensukseskan kejuaraan dunia panjat tebing dimana bu Yenny duduk sebagai ketua federasi panjat tebing, bukan berbincang politik.

https://t.co/0b1y79S2sD",0,0,0,0,0,0,0
150,"@Pra__93 Langsung lihatnya linu..
Asem g sih.. 😧",0,0,0,0,0,0,0
151,Ehe.. https://t.co/nH00cQ3pBJ,0,0,0,0,0,0,0
152,"@Dayen20338528 @SantorinisSun Kami takkan ada jika tak ada fitnah juga hoax pada pemerintah yang sah 
Kami takkan ada jika tak ada yang berniat mengganti merah putih dengan hitam jelaga.",0,0,0,0,0,0,0
153,"@Michaelnur77 Jadi bagusnya gimana??
Gosah ada BLT??",0,0,0,0,0,0,0
154,"Bansos diambil, tapi tetap ngenyek itu sifat ngehekk..
Menyedihkan !!! https://t.co/sKhROrSfyR",0,0,0,0,0,0,0
155,"@AyamSegar3 @INDA_B0Y Gosah heran Ayam..
Aa @INDA_B0Y itu kakakku..
Ngajarin ngetwit, video.
Kalo bahasa twitku kebablasan suka kena penalti..
🤭😄...
Kenal dari akunku cindil abang..
Ngajarin kebaikan makanya aku nurut..🙏",0,0,0,0,0,0,0
156,"@SantorinisSun Siapa Kita??
Indonesia... https://t.co/oLGwq2zn65",0,0,0,0,0,0,0
157,"@monsterhiphoop @Leonita_Lestari Adek nakalll..
🤣🤣🤣🤣",0,0,0,0,0,0,0
158,"@monsterhiphoop @Leonita_Lestari Mana,",0,0,0,0,0,0,0
159,"@monsterhiphoop Mbakmu mana Monsta??
Mbak Nita @Leonita_Lestari 
Dah beberapa hari g nungul.",0,0,0,0,0,0,0
160,@dedek_1209 DBD??,0,0,0,0,0,0,0
161,"@dedek_1209 Udah mendingan??
Minum obat??
Mam??

Kalo bocilnya dah sembuh sekarang??",0,0,0,0,0,0,0
162,@joseph_hono @SantorinisSun Beh.. 🤣🤣🤣🥳🥳🥳,0,0,0,0,0,0,0
163,"@Kayakuwek @sitidew40251554 @i_luckypeople @KangDickyAjah Berarti lo cuma ngemeng doang.. g punya data..
Bye..",0,0,0,0,0,0,0
164,"@SantorinisSun Kadang kampret mereka semua..
Main2 disaat lawan terus menggalang kekuatan. https://t.co/xjODip011i",0,0,0,0,0,0,0
165,@Kayakuwek @sitidew40251554 @i_luckypeople @KangDickyAjah Mau dijelaskan bedanya??,0,0,0,0,0,0,0
166,@Kayakuwek @sitidew40251554 @i_luckypeople @KangDickyAjah Lo tauk bedanya kelebihan anggaran dengan kelebihan bayar??,0,0,0,0,0,0,0
167,"Hanya Selembar Kain Tipis..

Jika kutaruh dikepalaku, disampirkan didada, kan kutundukkan pandanganku..
Allah menjagaku..

Jika saudariku tak memakainya, aku tetap sayang dan memeluknya karena berjilbab adalah pilihan.
🙏🙏🙏.. https://t.co/2WAYCNC2xC",0,0,0,0,0,0,0
168,@dedek_1209 Semoga lekas sembuh mbak Dedek.. https://t.co/rzYgxrn5oy,0,0,0,0,0,0,0
169,"@KangDickyAjah Komennya membagongkan..
🥳🥳🤣🤣🤣🤣...
Pagi kang Dicky.. https://t.co/VGrpInSFLV",0,0,0,0,0,0,0
170,"@MaryanaNunung Waalaikum salam..
Selamat Pagi mbak Nunung.. https://t.co/YkWnq4EIOw",0,0,0,0,0,0,0
171,"@_XPai Pagiii..
Team diaduk atau g diaduk??",0,0,0,0,0,0,0
172,"@_kensekar @Pencerah___ Mbak Sekar, selamat pagi.. https://t.co/yv07XpgdlP",0,0,0,0,0,0,0
173,"Kalo pak Moeldoko yang mengatakan.. 
😎😎😎🥳🥳🥳..
Kelarrr kalian semua..!!! https://t.co/lsWAKqMGhz",0,0,0,0,0,0,0
